"Species","pa","X","Y","acc_50k","all_mammals","bushmeat","def_1k","pop_d","ppt_m","proximity_raster_wdpa","tmin_m"
"rural locations",1,-8.068996,8.096542,217.720001220703,107.157920837402,2,0.538170456886292,25.9188842773438,134.25,0.0777424275875092,183.91667175293
"rural locations",1,10.571186,1.436483,151.160003662109,117.965255737305,6,3.35895323753357,895.687194824219,202.33332824707,0.167082980275154,176.16667175293
"rural locations",1,-5.836735,5.113832,689.919982910156,112.190872192383,4,2.34237146377563,93.1254043579102,132.91667175293,0.0104044172912836,223.75
"rural locations",1,48.228381,-18.9517,94.7600021362305,52.4418640136719,0,1.33790612220764,333.35888671875,136.25,0.105920664966106,138.33332824707
"rural locations",1,34.307025,-3.52202,524.400024414062,125.00830078125,0,0.00196533231064677,1045.21374511719,63.5833320617676,0.507102370262146,172.08332824707
"rural locations",1,34.270314,-1.960596,371.239990234375,137.802886962891,0,0.232734262943268,20.0871849060059,76.3333358764648,0.0696494653820992,169.08332824707
"rural locations",1,12.680926,2.670941,291.880004882812,146.008895874023,7,2.74109959602356,2301.71337890625,136.5,0.253407746553421,184.08332824707
"rural locations",1,37.323657,0.981788,237.279998779297,120.020683288574,1,0.00203942181542516,376.848205566406,64,0,121.083335876465
"rural locations",1,29.007207,-31.999021,367.279998779297,68.2595062255859,0,0.139987662434578,138.08903503418,82.5,0.23746383190155,138.41667175293
"rural locations",1,-66.094967,-2.515533,2256.52001953125,171.963775634766,3,2.5007688999176,507.310333251953,229.16667175293,0.0500181280076504,208.66667175293
"rural locations",1,99.59741,21.283997,14.8000001907349,111.287269592285,2,0.122625537216663,3612.73120117188,97.0833358764648,0.11396037042141,166.91667175293
"rural locations",1,-8.534918,7.577435,196.800003051758,142.313323974609,5.30800867080688,0.465795516967773,359.792877197266,173.16667175293,0.00335483183152974,164.41667175293
"rural locations",1,-5.952662,5.053825,547.840026855469,111.887016296387,4,2.23243618011475,40.7699089050293,131.16667175293,0.0104155130684376,224.75
"rural locations",1,-8.135699,6.065736,447.200012207031,120,8,3.95848727226257,1466.22631835938,169.08332824707,0.106070391833782,214.66667175293
"rural locations",1,-49.669282,-3.782003,10.0799999237061,157.946640014648,3.14679384231567,1.41288447380066,2762.1318359375,202,0.0487978160381317,219
"rural locations",1,100.009029,21.668787,177.720001220703,104.01481628418,4.96666765213013,1.45873510837555,1568.58215332031,107.583335876465,0.412579953670502,167.75
"rural locations",1,6.446955,5.06428,247.080001831055,74.3068161010742,1.48515355587006,1.50585281848907,3164.00708007812,222.25,0.0668423622846603,226.08332824707
"rural locations",1,33.443243,-14.249579,486.040008544922,127.541885375977,0,1.97262716293335,56.9286842346191,81.3333358764648,0,133.08332824707
"rural locations",1,101.758156,16.498122,181.160003662109,108.38542175293,3.80784249305725,0.105272762477398,10.9969072341919,91.4166641235352,0.0139100393280387,190.75
"rural locations",1,30.521487,0.518497,459.760009765625,161.192031860352,2.68226647377014,1.19241213798523,313.700775146484,102.916664123535,0.0168803296983242,147.08332824707
"rural locations",1,30.813923,-22.782206,293.239990234375,126.305076599121,0,0.0310910232365131,129.424591064453,57.5833320617676,0.000666666717734188,157.58332824707
"rural locations",1,95.694094,25.999109,367.359985351562,82.7916030883789,5,1.24658191204071,418.278289794922,282.166656494141,0.124443329870701,183.25
"rural locations",1,36.955059,-7.702586,104.839996337891,136.680282592773,0,0.34036511182785,67.0569763183594,118.5,0.000666666717734188,182
"rural locations",1,-9.04016,5.01934,374.583343505859,102.826950073242,4.95561790466309,0.935611724853516,408.282135009766,336.833343505859,0.163681641221046,206.41667175293
"rural locations",1,-0.734384,6.58557,13.0799999237061,140.120529174805,2,1.66523504257202,906.207702636719,131.41667175293,0.0666897296905518,186
"rural locations",1,-50.17196,-6.065062,68.2799987792969,129.214904785156,3,2.34106731414795,0.695429086685181,159.58332824707,0,178.66667175293
"rural locations",1,103.371575,20.09056,347.559997558594,114.781143188477,4.53107976913452,1.70283615589142,43.6277046203613,123.25,0.83329164981842,157.91667175293
"rural locations",1,10.746284,1.843482,160.279998779297,126,6,3.45129680633545,1626.28735351562,172.25,0.0653147175908089,191.66667175293
"rural locations",1,36.686821,-8.153574,3.75999999046326,126.626502990723,0,0.093890093266964,4076.12280273438,118,0.023271968588233,214.5
"rural locations",1,2.223054,6.635622,93.3199996948242,93.012825012207,0,1.61437618732452,1546.94384765625,91.1666641235352,0.209896355867386,229.25
"rural locations",1,8.102106,5.620912,390.480010986328,91.8614883422852,2.72092318534851,1.51807737350464,218.309753417969,186.75,0.0799408704042435,223.58332824707
"rural locations",1,-1.696576,6.202177,83.8000030517578,125.484008789062,2,0.809026718139648,3494.6494140625,121.666664123535,0.0416666679084301,204.25
"rural locations",1,-0.765351,6.551904,3.3199999332428,140,2,1.19900023937225,2608.30908203125,130.58332824707,0.0508615374565125,201.33332824707
"rural locations",1,1.35719,9.677731,103.559997558594,99.0251998901367,0,0.0250253304839134,444.38916015625,101.583335876465,0.224567830562592,200.66667175293
"rural locations",1,96.466484,18.078489,62.5999984741211,71.2656707763672,3.41092967987061,0.483408957719803,223.420059204102,247.16667175293,0.479221075773239,214.08332824707
"rural locations",1,118.327795,9.230736,229.960006713867,46,1,1.00255107879639,255.685195922852,143.75,0,226.91667175293
"rural locations",1,33.851208,-1.951682,83.4400024414062,124.994293212891,0,0.0551804937422276,369.709014892578,81.75,0.0726121962070465,172.08332824707
"rural locations",1,15.042087,-7.944011,367.720001220703,82.7812728881836,1,2.32972574234009,229.980117797852,89,1.89745151996613,176.66667175293
"rural locations",1,14.121231,-10.198155,263.839996337891,72.6977615356445,1,0.243266120553017,0,53.5833320617676,0.0480196252465248,205.66667175293
"rural locations",1,-10.998187,7.525636,171.800003051758,113.532760620117,6,2.74053645133972,111.120162963867,227.25,0.0267930738627911,211.66667175293
"rural locations",1,2.060335,6.701289,104.360000610352,95.6213531494141,0,1.98052000999451,44.088062286377,84.3333358764648,0.170376777648926,229.75
"rural locations",1,26.406915,-1.447824,286.399993896484,114.965492248535,6,6.18115663528442,472.516479492188,163.16667175293,0.809106171131134,192.33332824707
"rural locations",1,-8.529628,7.798082,69.120002746582,134.164199829102,5,1.21566951274872,1492.05737304688,160.16667175293,0.148762419819832,172.91667175293
"rural locations",1,30.897673,-19.008565,139.759994506836,122,0,0.0522903092205524,2981.02685546875,61,0.554902374744415,112.083335876465
"rural locations",1,-9.466438,7.000122,210.399993896484,119.107849121094,6,2.53220653533936,1149.70007324219,167.75,0.425081729888916,189
"rural locations",1,36.965703,-7.683454,24.0799999237061,132.253829956055,0,0.290843814611435,1312.2685546875,118.916664123535,0.0196746606379747,209.25
"rural locations",1,37.998471,-1.375165,206.080001831055,115,0,0.00833982601761818,195.093536376953,85.25,0.224691301584244,149
"rural locations",1,-36.924037,-6.870884,38.2000007629395,118.557510375977,0,0.0278296582400799,270.413116455078,48.4166679382324,0.391932547092438,208.16667175293
"rural locations",1,20.738728,-1.655754,589.599975585938,90.0923385620117,2,3.49952983856201,107.173042297363,168.91667175293,0.0425823144614697,197.08332824707
"rural locations",1,-70.355422,-3.788846,1488.64001464844,169.072647094727,3.00238347053528,1.50812137126923,298.142181396484,233.83332824707,0.0433341525495052,211.91667175293
"rural locations",1,30.575823,-29.432013,42.6399993896484,89.490966796875,0,1.8585489988327,61.0309181213379,74.8333358764648,0.0131608685478568,110.083335876465
"rural locations",1,-7.401822,5.82114,312.600006103516,132.947814941406,6.0041880607605,1.78318870067596,71.5255126953125,150.16667175293,0.0152927432209253,213.33332824707
"rural locations",1,103.399121,20.723048,323.239990234375,115.119209289551,3.70765590667725,3.04027676582336,17.4767360687256,127,0.298956602811813,159
"rural locations",1,124.807735,1.126428,126.639999389648,73,3,0.0690047740936279,1012.64099121094,191.66667175293,0.208800181746483,179.75
"rural locations",1,126.837366,4.324411,699.159973144531,12,0.99937230348587,0.374132871627808,6.06905746459961,262.416656494141,0.00521676056087017,217.25
"rural locations",1,-69.937567,-4.230605,1186.76000976562,172.554702758789,3.73361754417419,1.12085807323456,3216.18237304688,231,0.0278614945709705,211.5
"rural locations",1,24.732277,2.802001,351.359985351562,136.546981811523,6,3.7485511302948,6355.890625,136.5,0.230789735913277,199.91667175293
"rural locations",1,28.075301,-1.429291,219.039993286133,126.851135253906,7,2.91825747489929,4480.9443359375,133.08332824707,0.250277668237686,175.25
"rural locations",1,23.784527,2.739871,230.360000610352,133.014373779297,6,4.04183197021484,2768.65795898438,138.58332824707,0.928066968917847,201.33332824707
"rural locations",1,22.442587,-3.460655,395.559997558594,91,1,3.88837480545044,32.8750076293945,147.5,0.920371294021606,196.66667175293
"rural locations",1,-12.72235,13.074932,202.199996948242,92.5634994506836,3,0.0283647309988737,0,81.25,0,217
"rural locations",1,23.441133,-4.972184,190.440002441406,98.4598770141602,0,2.08933782577515,252.645645141602,135.08332824707,1.68108344078064,200.33332824707
"rural locations",1,31.467053,1.733809,212.479995727539,158.997055053711,2,0.034587524831295,39.2184906005859,110.833335876465,0.0014714045682922,171.66667175293
"rural locations",1,8.512908,5.785176,1087.23999023438,101.968391418457,5,0.130821242928505,8.70908546447754,196.75,0.00133333343546838,217.5
"rural locations",1,-10.987616,7.554656,207.160003662109,114.659301757812,6,2.87603402137756,0,225.08332824707,0.0109656071290374,210.58332824707
"rural locations",1,-64.809998,-3.213708,1677.11999511719,169.026977539062,3,4.31145524978638,374.881256103516,219.33332824707,0.0203347392380238,223.58332824707
