"Species","pa","X","Y","acc_50k","all_mammals","bushmeat","def_1k","pop_d","ppt_m","proximity_raster_wdpa","tmin_m"
"rural locations",1,29.007207,-31.999021,367.279998779297,68.2595062255859,0,0.139987662434578,138.08903503418,82.5,0.23746383190155,138.41667175293
"rural locations",1,48.228381,-18.9517,94.7600021362305,52.4418640136719,0,1.33790612220764,333.35888671875,136.25,0.105920664966106,138.33332824707
"rural locations",1,15.02947,-7.842346,414.959991455078,83,1,2.05872631072998,53.5934295654297,92.5833358764648,1.92734348773956,173.83332824707
"rural locations",1,15.042087,-7.944011,367.720001220703,82.7812728881836,1,2.32972574234009,229.980117797852,89,1.89745151996613,176.66667175293
"rural locations",1,10.945387,1.296534,200,120,6,1.60201215744019,475.994567871094,174.5,0.0946926847100258,177.66667175293
"rural locations",1,-7.478231,5.894608,290.440002441406,133.522201538086,7,1.34113812446594,356.451599121094,149.75,0.0444900318980217,212.83332824707
"rural locations",1,36.955059,-7.702586,104.839996337891,136.680282592773,0,0.34036511182785,67.0569763183594,118.5,0.000666666717734188,182
"rural locations",1,-10.987616,7.554656,207.160003662109,114.659301757812,6,2.87603402137756,0,225.08332824707,0.0109656071290374,210.58332824707
"rural locations",1,26.406915,-1.447824,286.399993896484,114.965492248535,6,6.18115663528442,472.516479492188,163.16667175293,0.809106171131134,192.33332824707
"rural locations",1,22.442587,-3.460655,395.559997558594,91,1,3.88837480545044,32.8750076293945,147.5,0.920371294021606,196.66667175293
"rural locations",1,107.760566,15.961944,111.599998474121,101.826141357422,7.57738447189331,6.29146814346313,69.1688079833984,191.58332824707,0.0020000000949949,198.83332824707
"rural locations",1,23.441133,-4.972184,190.440002441406,98.4598770141602,0,2.08933782577515,252.645645141602,135.08332824707,1.68108344078064,200.33332824707
"rural locations",1,-0.734384,6.58557,13.0799999237061,140.120529174805,2,1.66523504257202,906.207702636719,131.41667175293,0.0666897296905518,186
"rural locations",1,-36.924037,-6.870884,38.2000007629395,118.557510375977,0,0.0278296582400799,270.413116455078,48.4166679382324,0.391932547092438,208.16667175293
"rural locations",1,97.550722,24.752961,598.039978027344,107.018081665039,6.90067005157471,1.22486019134521,290.5390625,146.16667175293,0.783599257469177,163.58332824707
"rural locations",1,29.46649,4.91472,129.639999389648,104.439651489258,1,0.541649222373962,774.945251464844,120.333335876465,0.153660207986832,182.83332824707
"rural locations",1,31.709381,1.852862,209.559997558594,145.70198059082,1.99508368968964,0.18339841067791,0,108.166664123535,0.00918765645474195,171.83332824707
"rural locations",1,8.432092,5.705073,1421.9599609375,100.854797363281,4.39902257919312,0.309196412563324,3.93038249015808,197.5,0.00268816505558789,211.83332824707
"rural locations",1,33.443243,-14.249579,486.040008544922,127.541885375977,0,1.97262716293335,56.9286842346191,81.3333358764648,0,133.08332824707
"rural locations",1,123.177813,10.714156,324.920013427734,39.6291046142578,1.91272854804993,0.193061143159866,79.6348724365234,193.08332824707,0.178536921739578,206.91667175293
"rural locations",1,-11.030172,7.546057,121.23999786377,114.767280578613,6,4.69656419754028,2.95413136482239,225.5,0.0285139139741659,210.58332824707
"rural locations",1,100.009029,21.668787,177.720001220703,104.01481628418,4.96666765213013,1.45873510837555,1568.58215332031,107.583335876465,0.412579953670502,167.75
"rural locations",1,124.531258,0.927404,266.679992675781,69,3,2.59600520133972,22.987247467041,183.66667175293,0.0939204543828964,194.58332824707
"rural locations",1,-49.669282,-3.782003,10.0799999237061,157.946640014648,3.14679384231567,1.41288447380066,2762.1318359375,202,0.0487978160381317,219
"rural locations",1,-36.797555,-6.775455,56.7599983215332,118.082191467285,0,0.0100317383185029,113.806205749512,48.1666679382324,0.461504220962524,208.58332824707
"rural locations",1,-8.861193,6.492605,308.040008544922,114.15845489502,7,4.47147274017334,699.30322265625,163.83332824707,0.451155990362167,197.41667175293
"rural locations",1,14.803875,-8.288952,265.799987792969,79.3049774169922,1,4.36751461029053,114.52906036377,77.25,1.48492980003357,181.41667175293
"rural locations",1,-9.466438,7.000122,210.399993896484,119.107849121094,6,2.53220653533936,1149.70007324219,167.75,0.425081729888916,189
"rural locations",1,126.175123,7.107716,189.240005493164,27.1769332885742,1,0.543021380901337,66.8696975708008,190.66667175293,0.100140601396561,192
"rural locations",1,37.998471,-1.375165,206.080001831055,115,0,0.00833982601761818,195.093536376953,85.25,0.224691301584244,149
"rural locations",1,36.485798,-8.088585,37.3600006103516,129.199554443359,0,0.568229079246521,15.1317749023438,119.916664123535,0.00468816515058279,213.08332824707
"rural locations",1,24.456756,0.803969,140.679992675781,119.559768676758,3,4.22748041152954,283.378509521484,147.25,0.0100970892235637,196.75
